Service ID,Site ID,Customer ID,Service Type,Bandwidth Mbps,Assignment Group
SVC-00750,SITE-0380,CUST-035,Business Voice (SIP),,Voice Ops
SVC-00751,SITE-0380,CUST-035,SD-WAN,100,Field - West
SVC-00752,SITE-0381,CUST-035,Dedicated Internet,10000,Field - West
SVC-00753,SITE-0381,CUST-035,MPLS WAN,1000,Field - West
SVC-00754,SITE-0382,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00755,SITE-0382,CUST-036,SD-WAN,500,Field - Ontario
SVC-00756,SITE-0382,CUST-036,Managed Security,,Security Ops
SVC-00757,SITE-0382,CUST-036,MPLS WAN,1000,Field - Ontario
SVC-00758,SITE-0383,CUST-036,SD-WAN,100,Field - Ontario
SVC-00759,SITE-0383,CUST-036,Dedicated Internet,2000,Field - Ontario
SVC-00760,SITE-0384,CUST-036,MPLS WAN,200,Field - Ontario
SVC-00761,SITE-0385,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00762,SITE-0385,CUST-036,Managed Cloud,,Cloud Ops
SVC-00763,SITE-0386,CUST-036,SD-WAN,1000,Field - Ontario
SVC-00764,SITE-0386,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00765,SITE-0387,CUST-036,Dedicated Internet,100,Field - Ontario
SVC-00766,SITE-0387,CUST-036,Managed Security,,Security Ops
SVC-00767,SITE-0387,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00768,SITE-0388,CUST-036,Dedicated Internet,500,Field - West
SVC-00769,SITE-0388,CUST-036,MPLS WAN,50,Field - West
SVC-00770,SITE-0388,CUST-036,SD-WAN,2000,Field - West
SVC-00771,SITE-0389,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00772,SITE-0389,CUST-036,Dedicated Internet,10000,Field - Quebec
SVC-00773,SITE-0389,CUST-036,Managed Security,,Security Ops
SVC-00774,SITE-0390,CUST-036,SD-WAN,500,Field - Ontario
SVC-00775,SITE-0390,CUST-036,MPLS WAN,200,Field - Ontario
SVC-00776,SITE-0391,CUST-036,Dedicated Internet,500,Field - Ontario
SVC-00777,SITE-0392,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00778,SITE-0392,CUST-036,Dedicated Internet,10000,Field - Ontario
SVC-00779,SITE-0393,CUST-036,Managed Security,,Security Ops
SVC-00780,SITE-0393,CUST-036,MPLS WAN,2000,Field - Atlantic
SVC-00781,SITE-0393,CUST-036,Managed Cloud,,Cloud Ops
SVC-00782,SITE-0394,CUST-036,Managed Cloud,,Cloud Ops
SVC-00783,SITE-0395,CUST-036,Dedicated Internet,1000,Field - Ontario
SVC-00784,SITE-0395,CUST-036,MPLS WAN,1000,Field - Ontario
SVC-00785,SITE-0396,CUST-036,Managed Cloud,,Cloud Ops
SVC-00786,SITE-0397,CUST-036,Dedicated Internet,50,Field - Ontario
SVC-00787,SITE-0397,CUST-036,Managed Cloud,,Cloud Ops
SVC-00788,SITE-0397,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00789,SITE-0398,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00790,SITE-0398,CUST-036,SD-WAN,100,Field - Ontario
SVC-00791,SITE-0399,CUST-036,Dedicated Internet,1000,Field - Ontario
SVC-00792,SITE-0399,CUST-036,Managed Cloud,,Cloud Ops
SVC-00793,SITE-0400,CUST-036,SD-WAN,200,Field - Ontario
SVC-00794,SITE-0400,CUST-036,Managed Security,,Security Ops
SVC-00795,SITE-0401,CUST-036,Business Voice (SIP),,Voice Ops
SVC-00796,SITE-0402,CUST-037,SD-WAN,500,Field - Ontario
SVC-00797,SITE-0402,CUST-037,Dedicated Internet,500,Field - Ontario
SVC-00798,SITE-0402,CUST-037,Business Voice (SIP),,Voice Ops
SVC-00799,SITE-0402,CUST-037,Managed Security,,Security Ops
SVC-00800,SITE-0403,CUST-037,Dedicated Internet,200,Field - Quebec
SVC-00801,SITE-0404,CUST-037,MPLS WAN,100,Field - Atlantic
SVC-00802,SITE-0404,CUST-037,Managed Cloud,,Cloud Ops
SVC-00803,SITE-0405,CUST-037,MPLS WAN,10000,Field - Quebec
SVC-00804,SITE-0405,CUST-037,SD-WAN,1000,Field - Quebec
SVC-00805,SITE-0406,CUST-037,Dedicated Internet,100,Field - West
SVC-00806,SITE-0406,CUST-037,MPLS WAN,200,Field - West
SVC-00807,SITE-0406,CUST-037,Business Voice (SIP),,Voice Ops
SVC-00808,SITE-0407,CUST-037,MPLS WAN,100,Field - West
SVC-00809,SITE-0408,CUST-037,Dedicated Internet,10000,Field - Quebec
SVC-00810,SITE-0408,CUST-037,Business Voice (SIP),,Voice Ops
SVC-00811,SITE-0408,CUST-037,MPLS WAN,50,Field - Quebec
SVC-00812,SITE-0408,CUST-037,SD-WAN,100,Field - Quebec
SVC-00813,SITE-0409,CUST-037,Dedicated Internet,1000,Field - Quebec
SVC-00814,SITE-0410,CUST-037,MPLS WAN,200,Field - West
SVC-00815,SITE-0410,CUST-037,Dedicated Internet,1000,Field - West
SVC-00816,SITE-0410,CUST-037,Managed Cloud,,Cloud Ops
SVC-00817,SITE-0411,CUST-037,Business Voice (SIP),,Voice Ops
SVC-00818,SITE-0411,CUST-037,Dedicated Internet,2000,Field - Quebec
SVC-00819,SITE-0411,CUST-037,Managed Cloud,,Cloud Ops
SVC-00820,SITE-0411,CUST-037,Managed Security,,Security Ops
SVC-00821,SITE-0412,CUST-037,MPLS WAN,10000,Field - Quebec
SVC-00822,SITE-0413,CUST-037,Managed Cloud,,Cloud Ops
SVC-00823,SITE-0413,CUST-037,MPLS WAN,1000,Field - Quebec
SVC-00824,SITE-0414,CUST-037,Dedicated Internet,200,Field - West
SVC-00825,SITE-0414,CUST-037,SD-WAN,100,Field - West
SVC-00826,SITE-0415,CUST-037,Business Voice (SIP),,Voice Ops
SVC-00827,SITE-0415,CUST-037,Dedicated Internet,500,Field - West
SVC-00828,SITE-0416,CUST-037,Dedicated Internet,10000,Field - Quebec
SVC-00829,SITE-0416,CUST-037,SD-WAN,100,Field - Quebec
SVC-00830,SITE-0417,CUST-037,Business Voice (SIP),,Voice Ops
SVC-00831,SITE-0417,CUST-037,Dedicated Internet,50,Field - West
SVC-00832,SITE-0418,CUST-037,Dedicated Internet,200,Field - Quebec
SVC-00833,SITE-0419,CUST-037,Dedicated Internet,50,Field - Quebec
SVC-00834,SITE-0419,CUST-037,Business Voice (SIP),,Voice Ops
SVC-00835,SITE-0420,CUST-038,Business Voice (SIP),,Voice Ops
SVC-00836,SITE-0421,CUST-038,SD-WAN,500,Field - Ontario
SVC-00837,SITE-0422,CUST-038,Managed Security,,Security Ops
SVC-00838,SITE-0422,CUST-038,SD-WAN,50,Field - Ontario
SVC-00839,SITE-0422,CUST-038,Dedicated Internet,2000,Field - Ontario
SVC-00840,SITE-0422,CUST-038,Business Voice (SIP),,Voice Ops
SVC-00841,SITE-0423,CUST-038,Dedicated Internet,2000,Field - Ontario
SVC-00842,SITE-0423,CUST-038,MPLS WAN,2000,Field - Ontario
SVC-00843,SITE-0424,CUST-038,Dedicated Internet,50,Field - West
SVC-00844,SITE-0425,CUST-038,MPLS WAN,10000,Field - Ontario
SVC-00845,SITE-0426,CUST-038,Managed Cloud,,Cloud Ops
SVC-00846,SITE-0427,CUST-038,Managed Security,,Security Ops
SVC-00847,SITE-0427,CUST-038,Dedicated Internet,100,Field - Ontario
SVC-00848,SITE-0428,CUST-039,Dedicated Internet,100,Field - Quebec
SVC-00849,SITE-0428,CUST-039,Business Voice (SIP),,Voice Ops
SVC-00850,SITE-0429,CUST-039,Dedicated Internet,500,Field - Quebec
SVC-00851,SITE-0429,CUST-039,Managed Security,,Security Ops
SVC-00852,SITE-0429,CUST-039,MPLS WAN,200,Field - Quebec
SVC-00853,SITE-0430,CUST-039,Managed Cloud,,Cloud Ops
SVC-00854,SITE-0430,CUST-039,MPLS WAN,200,Field - Ontario
SVC-00855,SITE-0430,CUST-039,Managed Security,,Security Ops
SVC-00856,SITE-0431,CUST-039,SD-WAN,2000,Field - Quebec
SVC-00857,SITE-0431,CUST-039,Business Voice (SIP),,Voice Ops
SVC-00858,SITE-0431,CUST-039,Managed Cloud,,Cloud Ops
SVC-00859,SITE-0432,CUST-039,MPLS WAN,1000,Field - West
SVC-00860,SITE-0432,CUST-039,SD-WAN,2000,Field - West
SVC-00861,SITE-0433,CUST-039,SD-WAN,2000,Field - West
SVC-00862,SITE-0434,CUST-039,Business Voice (SIP),,Voice Ops
SVC-00863,SITE-0434,CUST-039,SD-WAN,10000,Field - Quebec
SVC-00864,SITE-0434,CUST-039,Dedicated Internet,100,Field - Quebec
SVC-00865,SITE-0435,CUST-039,SD-WAN,2000,Field - Quebec
SVC-00866,SITE-0435,CUST-039,Dedicated Internet,2000,Field - Quebec
SVC-00867,SITE-0435,CUST-039,Business Voice (SIP),,Voice Ops
SVC-00868,SITE-0436,CUST-039,Business Voice (SIP),,Voice Ops
SVC-00869,SITE-0437,CUST-040,Business Voice (SIP),,Voice Ops
SVC-00870,SITE-0437,CUST-040,Managed Security,,Security Ops
SVC-00871,SITE-0438,CUST-040,Dedicated Internet,2000,Field - Ontario
SVC-00872,SITE-0438,CUST-040,Business Voice (SIP),,Voice Ops
SVC-00873,SITE-0439,CUST-040,Dedicated Internet,2000,Field - Ontario
SVC-00874,SITE-0439,CUST-040,Managed Cloud,,Cloud Ops
SVC-00875,SITE-0440,CUST-040,Business Voice (SIP),,Voice Ops
SVC-00876,SITE-0440,CUST-040,Dedicated Internet,2000,Field - Quebec
SVC-00877,SITE-0440,CUST-040,SD-WAN,200,Field - Quebec
SVC-00878,SITE-0441,CUST-040,MPLS WAN,1000,Field - West
SVC-00879,SITE-0441,CUST-040,Dedicated Internet,100,Field - West
SVC-00880,SITE-0441,CUST-040,Managed Security,,Security Ops
SVC-00881,SITE-0441,CUST-040,Business Voice (SIP),,Voice Ops
SVC-00882,SITE-0442,CUST-040,Business Voice (SIP),,Voice Ops
SVC-00883,SITE-0442,CUST-040,Dedicated Internet,50,Field - Ontario
SVC-00884,SITE-0443,CUST-040,Dedicated Internet,10000,Field - Ontario
SVC-00885,SITE-0444,CUST-040,Managed Cloud,,Cloud Ops
